id,trial,trialord,blink,age,female_baby,female_parent,lullaby_side,lullaby_order,lullaby_character,condition,lultrial
8026,2,1,1,10.38193,0,1,left,first,red,1,1
8026,3,2,1,10.38193,0,1,left,first,red,1,0
8026,4,4,0,10.38193,0,1,left,first,red,1,
8026,5,3,0,10.38193,0,1,left,first,red,1,0
8026,6,4,0,10.38193,0,1,left,first,red,1,1
8026,7,7,0,10.38193,0,1,left,first,red,1,
8026,8,5,2,10.38193,0,1,left,first,red,1,1
8026,9,6,1,10.38193,0,1,left,first,red,1,0
8026,10,10,0,10.38193,0,1,left,first,red,1,
8026,11,7,1,10.38193,0,1,left,first,red,1,0
8026,12,8,1,10.38193,0,1,left,first,red,1,1
8026,13,13,1,10.38193,0,1,left,first,red,1,
8027,1,1,6,11.071869,0,1,right,first,blue,6,
8027,2,1,9,11.071869,0,1,right,first,blue,6,1
8027,3,2,2,11.071869,0,1,right,first,blue,6,0
8027,4,4,1,11.071869,0,1,right,first,blue,6,
8027,5,3,2,11.071869,0,1,right,first,blue,6,0
8027,6,4,2,11.071869,0,1,right,first,blue,6,1
8027,7,7,0,11.071869,0,1,right,first,blue,6,
8027,8,5,0,11.071869,0,1,right,first,blue,6,1
8027,9,6,0,11.071869,0,1,right,first,blue,6,0
8027,10,10,0,11.071869,0,1,right,first,blue,6,
8027,11,7,0,11.071869,0,1,right,first,blue,6,0
8027,12,8,0,11.071869,0,1,right,first,blue,6,1
8027,13,13,0,11.071869,0,1,right,first,blue,6,
8028,1,1,0,14.324435,1,1,right,second,blue,7,
8028,2,1,0,14.324435,1,1,right,second,blue,7,0
8028,3,2,1,14.324435,1,1,right,second,blue,7,1
8028,4,4,0,14.324435,1,1,right,second,blue,7,
8028,5,3,0,14.324435,1,1,right,second,blue,7,1
8028,6,4,1,14.324435,1,1,right,second,blue,7,0
8028,7,7,2,14.324435,1,1,right,second,blue,7,
8028,8,5,1,14.324435,1,1,right,second,blue,7,0
8028,9,6,1,14.324435,1,1,right,second,blue,7,1
8028,10,10,0,14.324435,1,1,right,second,blue,7,
8028,11,7,1,14.324435,1,1,right,second,blue,7,1
8028,12,8,2,14.324435,1,1,right,second,blue,7,0
8028,13,13,2,14.324435,1,1,right,second,blue,7,
8029,1,1,1,12.813142,0,1,left,first,blue,10,
8029,2,1,0,12.813142,0,1,left,first,blue,10,1
8029,3,2,3,12.813142,0,1,left,first,blue,10,0
8029,4,4,2,12.813142,0,1,left,first,blue,10,
8029,5,3,0,12.813142,0,1,left,first,blue,10,0
8029,6,4,1,12.813142,0,1,left,first,blue,10,1
8029,7,7,0,12.813142,0,1,left,first,blue,10,
8029,8,5,0,12.813142,0,1,left,first,blue,10,1
8029,9,6,2,12.813142,0,1,left,first,blue,10,0
8029,10,10,1,12.813142,0,1,left,first,blue,10,
8029,11,7,0,12.813142,0,1,left,first,blue,10,0
8029,12,8,0,12.813142,0,1,left,first,blue,10,1
8029,13,13,0,12.813142,0,1,left,first,blue,10,
8030,1,1,2,12.386037,1,1,right,first,blue,6,
8030,2,1,1,12.386037,1,1,right,first,blue,6,1
8030,3,2,1,12.386037,1,1,right,first,blue,6,0
8030,4,4,4,12.386037,1,1,right,first,blue,6,
8030,5,3,4,12.386037,1,1,right,first,blue,6,0
8030,6,4,2,12.386037,1,1,right,first,blue,6,1
8030,7,7,1,12.386037,1,1,right,first,blue,6,
8030,8,5,2,12.386037,1,1,right,first,blue,6,1
8030,9,6,4,12.386037,1,1,right,first,blue,6,0
8030,10,10,4,12.386037,1,1,right,first,blue,6,
8030,11,7,2,12.386037,1,1,right,first,blue,6,0
8030,12,8,3,12.386037,1,1,right,first,blue,6,1
8030,13,13,4,12.386037,1,1,right,first,blue,6,
8031,1,1,0,4.0082135,0,0,right,second,red,15,
8031,2,1,0,4.0082135,0,0,right,second,red,15,0
8031,3,2,0,4.0082135,0,0,right,second,red,15,1
8031,4,4,1,4.0082135,0,0,right,second,red,15,
8031,5,3,0,4.0082135,0,0,right,second,red,15,1
8031,6,4,1,4.0082135,0,0,right,second,red,15,0
8031,7,7,0,4.0082135,0,0,right,second,red,15,
8031,8,5,2,4.0082135,0,0,right,second,red,15,0
8031,9,6,1,4.0082135,0,0,right,second,red,15,1
8031,10,10,1,4.0082135,0,0,right,second,red,15,
8031,11,7,0,4.0082135,0,0,right,second,red,15,1
8031,12,8,2,4.0082135,0,0,right,second,red,15,0
8031,13,13,1,4.0082135,0,0,right,second,red,15,
8032,1,1,0,5.1581111,1,0,left,first,blue,10,
8032,2,1,0,5.1581111,1,0,left,first,blue,10,1
8032,3,2,1,5.1581111,1,0,left,first,blue,10,0
8032,4,4,2,5.1581111,1,0,left,first,blue,10,
8032,5,3,3,5.1581111,1,0,left,first,blue,10,0
8032,6,4,2,5.1581111,1,0,left,first,blue,10,1
8032,7,7,1,5.1581111,1,0,left,first,blue,10,
8032,8,5,1,5.1581111,1,0,left,first,blue,10,1
8032,9,6,1,5.1581111,1,0,left,first,blue,10,0
