id,trial,trialord,look,lookdir,age,female_baby,female_parent,lullaby_side,lullaby_order,lullaby_character,condition,lultrial
8010,13,13,6368,r,4.1396303,0,1,right,second,blue,8,
8011,1,1,8013,l,3.6139631,0,1,left,second,red,4,
8011,1,1,4480,r,3.6139631,0,1,left,second,red,4,
8011,2,1,1728,l,3.6139631,0,1,left,second,red,4,0
8011,2,1,12020,r,3.6139631,0,1,left,second,red,4,0
8011,3,2,13028,l,3.6139631,0,1,left,second,red,4,1
8011,3,2,320,r,3.6139631,0,1,left,second,red,4,1
8011,4,4,11093,l,3.6139631,0,1,left,second,red,4,
8011,4,4,1040,r,3.6139631,0,1,left,second,red,4,
8011,5,3,13309,l,3.6139631,0,1,left,second,red,4,1
8011,5,3,144,r,3.6139631,0,1,left,second,red,4,1
8011,6,4,416,l,3.6139631,0,1,left,second,red,4,0
8011,6,4,12469,r,3.6139631,0,1,left,second,red,4,0
8011,7,7,3360,l,3.6139631,0,1,left,second,red,4,
8011,7,7,5968,r,3.6139631,0,1,left,second,red,4,
8011,8,5,0,l,3.6139631,0,1,left,second,red,4,0
8011,8,5,10144,r,3.6139631,0,1,left,second,red,4,0
8011,9,6,11533,l,3.6139631,0,1,left,second,red,4,1
8011,9,6,0,r,3.6139631,0,1,left,second,red,4,1
8011,10,10,10101,l,3.6139631,0,1,left,second,red,4,
8011,10,10,352,r,3.6139631,0,1,left,second,red,4,
8011,11,7,14100,l,3.6139631,0,1,left,second,red,4,1
8011,11,7,0,r,3.6139631,0,1,left,second,red,4,1
8011,12,8,2832,l,3.6139631,0,1,left,second,red,4,0
8011,12,8,1349,r,3.6139631,0,1,left,second,red,4,0
8011,13,13,7936,l,3.6139631,0,1,left,second,red,4,
8011,13,13,3936,r,3.6139631,0,1,left,second,red,4,
8012,1,1,5902,l,10.349076,1,1,right,first,blue,5,
8012,1,1,5009,r,10.349076,1,1,right,first,blue,5,
8012,2,1,1200,l,10.349076,1,1,right,first,blue,5,1
8012,2,1,12308,r,10.349076,1,1,right,first,blue,5,1
8012,3,2,10480,l,10.349076,1,1,right,first,blue,5,0
8012,3,2,1586,r,10.349076,1,1,right,first,blue,5,0
8012,4,4,5770,l,10.349076,1,1,right,first,blue,5,
8012,4,4,5680,r,10.349076,1,1,right,first,blue,5,
8012,5,3,11394,l,10.349076,1,1,right,first,blue,5,0
8012,5,3,1584,r,10.349076,1,1,right,first,blue,5,0
8012,6,4,1290,l,10.349076,1,1,right,first,blue,5,1
8012,6,4,8192,r,10.349076,1,1,right,first,blue,5,1
8012,7,7,4176,l,10.349076,1,1,right,first,blue,5,
8012,7,7,5970,r,10.349076,1,1,right,first,blue,5,
8012,8,5,704,l,10.349076,1,1,right,first,blue,5,1
8012,8,5,12426,r,10.349076,1,1,right,first,blue,5,1
8012,9,6,10608,l,10.349076,1,1,right,first,blue,5,0
8012,9,6,816,r,10.349076,1,1,right,first,blue,5,0
8012,10,10,7456,l,10.349076,1,1,right,first,blue,5,
8012,10,10,3520,r,10.349076,1,1,right,first,blue,5,
8012,11,7,12706,l,10.349076,1,1,right,first,blue,5,0
